id,input_text,target_language,human_translated_text,clean_text,detected_lang,moderation_status
491,मुझे फल ताज़ा लगता है।,en,I find fruit fresh.,मुझे फल ताज़ा लगता है।,hi,approved
492,मुझे परसों का मक्खन बासी लगता है।,en,I find old butter stale.,मुझे परसों का मक्खन बासी लगता है।,hi,approved
493,मुझे रसगुल्ला नरम लगता है।,en,I find rasgulla soft.,मुझे रसगुल्ला नरम लगता है।,hi,approved
494,मुझे कटहल सख़्त लगता है।,en,I find jackfruit hard.,मुझे कटहल सख़्त लगता है।,hi,approved
495,मुझे चना मसाला मसालेदार लगता है।,en,I find chickpeas spicy.,मुझे चना मसाला मसालेदार लगता है।,hi,approved
496,मुझे पानी फीका लगता है।,en,I find water bland.,मुझे पानी फीका लगता है।,hi,approved
497,सोनल का चाचा,en,Sonal’s uncle,सोनल का चाचा,mr,approved
498,यशु की किताब,en,Yashu’s book,यशु की किताब,hi,approved
499,दीपक का मेज़,en,Deepak’s table,दीपक का मेज़,hi,approved
500,प्रशांत का लैपटॉप,en,Prashant’s laptop,प्रशांत का लैपटॉप,mr,approved
501,நா உனைவிட உயரமானவன்,hi,मैं तुम से लम्बा हूँ,நா உனைவிட உயரமானவன்,ta,approved
502,நா உனைவிட உயரமானவள்,hi,मैं तुम से लम्बी हूँ,நா உனைவிட உயரமானவள்,ta,approved
503,அருண் பிரியாவை விட உயரமானவன்,hi,"अरुण, प्रिया से छोटा है",அருண் பிரியாவை விட உயரமானவன்,ta,approved
504,பிரியா அருணை விடஉயரமானவள்,hi,"प्रिया, अरुण से छोटी है",பிரியா அருணை விடஉயரமானவள்,ta,approved
505,இது அதைவிட நீளமானது,hi,यह उससे लंबा है,இது அதைவிட நீளமானது,ta,approved
506,அது இதைவிட நீளமானது,hi,यह इससे लंबा है,அது இதைவிட நீளமானது,ta,approved
507,அருணின் கார்,hi,अण की कार,அருணின் கார்,ta,approved
508,பிரியாவின் கார்,hi,प्रिया की कार,பிரியாவின் கார்,ta,approved
509,பிரியாவின் போன்,hi,प्रिया का फोन,பிரியாவின் போன்,ta,approved
510,பிரியாவின் போன்கள்,hi,प्रिया के फोन,பிரியாவின் போன்கள்,ta,approved
511,அருணின் புத்தகம்,hi,अण की किताब,அருணின் புத்தகம்,ta,approved
512,அருணின் புத்தகங்கள்,hi,अण की पुस्तकें,அருணின் புத்தகங்கள்,ta,approved
513,அருணின் மகன்,hi,अण का बेटा,அருணின் மகன்,ta,approved
514,பிரியாவின் மகன்,hi,प्रिया का बेटा,பிரியாவின் மகன்,ta,approved
515,அருணின் மகள்,hi,अण की बेटी,அருணின் மகள்,ta,approved
516,பிரியாவின் மகள்,hi,प्रिया की बेटी,பிரியாவின் மகள்,ta,approved
517,பிரியாவின் மகன்கள்,hi,प्रिया के बेटे,பிரியாவின் மகன்கள்,ta,approved
518,பிரியாவின் மகள்கள்,hi,प्रिया की बेटियाँ,பிரியாவின் மகள்கள்,ta,approved
519,தயவு செய்து உதவுவீர்களா?,hi,क्या आप मेरी मदद करेंगे?,தயவு செய்து உதவுவீர்களா?,ta,approved
520,தயவு செய்து பங்கா ஆப் பண்ணுவீர்களா?,hi,क्या आप पंखा बंद कर देंगे?,தயவு செய்து பங்கா ஆப் பண்ணுவீர்களா?,ta,approved
521,இப்போது என்ன சாப்பிட விரும்புகிறீர்கள்?,hi,अब आप क्या लेना पसंद करेंगे?,இப்போது என்ன சாப்பிட விரும்புகிறீர்கள்?,ta,approved
522,நான் ஒரு கப் காபி சாப்பிட விரும்புகிறேன்,hi,मैं एक कप कॉफी चाहूँगी,நான் ஒரு கப் காபி சாப்பிட விரும்புகிறேன்,ta,approved
523,வரவேற்பு,hi,स्वागत है,வரவேற்பு,ta,approved
524,வணக்கம்,hi,नमस्ते / नमस्कार,வணக்கம்,ta,approved
525,வணக்கம்,hi,हेलो,வணக்கம்,ta,approved
526,எப்படி இருக்கிறீர்கள்?,hi,आप कैसे हैं?,எப்படி இருக்கிறீர்கள்?,ta,approved
527,எப்படி இருக்கிறாய்?,hi,तुम कैसे हो?,எப்படி இருக்கிறாய்?,ta,approved
528,நான் நன்றாக இருக்கிறேன்,hi,मैं अच्छा हूँ / मैं अच्छी हूँ,நான் நன்றாக இருக்கிறேன்,ta,approved
529,நெடுநாளாக பார்க்கவில்லை,hi,बहुत समय से दिखे नहीं,நெடுநாளாக பார்க்கவில்லை,ta,approved
530,உங்கள் பெயர் என்ன?,hi,आपका नाम क्या है?,உங்கள் பெயர் என்ன?,ta,approved
531,என் பெயர் ...,hi,मेरा नाम ... है,என் பெயர் ...,ta,approved
532,நீங்கள் எங்கிருந்து வருகிறீர்கள்?,hi,आप कहाँ से हैं?,நீங்கள் எங்கிருந்து வருகிறீர்கள்?,ta,approved
533,நான் ... இருந்து வருகிறேன்,hi,मैं ... से हूँ,நான் ... இருந்து வருகிறேன்,ta,approved
534,உங்களை சந்தித்ததில் மகிழ்ச்சி,hi,आप से मिलकर खुशी हुई,உங்களை சந்தித்ததில் மகிழ்ச்சி,ta,approved
535,காலை வணக்கம்,hi,शुभ प्रभात,காலை வணக்கம்,ta,approved
536,மதிய வணக்கம்,hi,नमस्ते / शुभ दोपहर,மதிய வணக்கம்,ta,approved
537,மாலை வணக்கம்,hi,शुभ संध्या,மாலை வணக்கம்,ta,approved
538,இனிய இரவு,hi,शुभ रात्रि,இனிய இரவு,ta,approved
539,விடை பெறுகிறேன்,hi,फिर मिलेंगे,விடை பெறுகிறேன்,ta,approved
540,நல்வாழ்த்துக்கள்,hi,शुभकामनाएँ,நல்வாழ்த்துக்கள்,ta,approved
541,இனிய நாளாக அமையட்டும்,hi,आपका दिन अच्छा बीते,இனிய நாளாக அமையட்டும்,ta,approved
542,உணவை ரசித்து உண்க,hi,कृपया भोजन शुरू कीजिए,உணவை ரசித்து உண்க,ta,approved
543,இனிய பயணமாக அமையட்டும்,hi,शुभ यात्रा,இனிய பயணமாக அமையட்டும்,ta,approved
544,எனக்கு தெரியாது,hi,मुझे नहीं पता,எனக்கு தெரியாது,ta,approved
545,உங்களுக்கு புரிகிறதா?,hi,क्या आप समझे?,உங்களுக்கு புரிகிறதா?,ta,approved
546,நான் புரிந்து கொண்டேன்,hi,मैं समझ गया / गयी,நான் புரிந்து கொண்டேன்,ta,approved
547,எனக்கு புரியவில்லை,hi,मैं समझा / समझी नहीं,எனக்கு புரியவில்லை,ta,approved
548,தயவு செய்து மெதுவாக பேசுங்கள்,hi,कृपया धीरे बोलिए,தயவு செய்து மெதுவாக பேசுங்கள்,ta,approved
549,நீங்கள் அதை மீண்டும் சொல்ல முடியுமா?,hi,कृपया इसे दोहराएँ,நீங்கள் அதை மீண்டும் சொல்ல முடியுமா?,ta,approved
550,தயவு செய்து எழுதுங்கள்,hi,कृपया लिखिए,தயவு செய்து எழுதுங்கள்,ta,approved
551,நீங்கள் ஆங்கிலம் பேசுவீர்களா?,hi,क्या आप अंग्रेज़ी बोलते हैं?,நீங்கள் ஆங்கிலம் பேசுவீர்களா?,ta,approved
552,நீங்கள் हिन्दी பேசுவீர்களா?,hi,क्या आप हिन्दी बोलते हैं?,நீங்கள் हिन्दी பேசுவீர்களா?,ta,approved
553,"ஆம், கொஞ்சம்",hi,"हाँ, थोड़ी सी","ஆம், கொஞ்சம்",ta,approved
554,மன்னிக்கவும்,hi,माफ कीजिए,மன்னிக்கவும்,ta,approved
555,நன்றி,hi,धन्यवाद,நன்றி,ta,approved
556,கழிப்பறை எங்கே?,hi,टॉयलेट कहाँ है?,கழிப்பறை எங்கே?,ta,approved
557,உதவி!,hi,मदद!,உதவி!,ta,approved
558,தீ!,hi,आग!,தீ!,ta,approved
559,நிறுத்து!,hi,रुकिए!,நிறுத்து!,ta,approved
560,காவல்துறையினரை அழைக்கவும்!,hi,पुलिस को बुलाओ!,காவல்துறையினரை அழைக்கவும்!,ta,approved
561,பிறந்தநாள் வாழ்த்துக்கள்,hi,जन्मदिन मुबारक हो,பிறந்தநாள் வாழ்த்துக்கள்,ta,approved
562,புத்தாண்டு வாழ்த்துக்கள்,hi,नये साल की शुभकामनाएँ,புத்தாண்டு வாழ்த்துக்கள்,ta,approved
563,ஈஸ்டர் வாழ்த்துக்கள்,hi,ईस्टर की शुभकामनाएँ,ஈஸ்டர் வாழ்த்துக்கள்,ta,approved
564,வாழ்த்துக்கள்!,hi,बधाई!,வாழ்த்துக்கள்!,ta,approved
565,தண்ணீரை சேமிக்கவும்,hi,पानी बचाओ,தண்ணீரை சேமிக்கவும்,ta,approved
566,स्वागत है,ta,வரவேற்பு,स्वागत है,hi,approved
567,नमस्ते / नमस्कार,ta,வணக்கம்,नमस्ते नमस्कार,hi,approved
568,हेलो,ta,வணக்கம்,हेलो,mr,approved
569,आप कैसे हैं?,ta,எப்படி இருக்கிறீர்கள்?,आप कैसे हैं?,hi,approved
570,तुम कैसे हो?,ta,எப்படி இருக்கிறாய்?,तुम कैसे हो?,hi,approved
571,मैं अच्छा हूँ / मैं अच्छी हूँ,ta,நான் நன்றாக இருக்கிறேன்,मैं अच्छा हूँ मैं अच्छी हूँ,hi,approved
572,बहुत समय से दिखे नहीं,ta,நெடுநாளாக பார்க்கவில்லை,बहुत समय से दिखे नहीं,hi,approved
573,आपका नाम क्या है?,ta,உங்கள் பெயர் என்ன?,आपका नाम क्या है?,hi,approved
574,मेरा नाम ... है,ta,என் பெயர் ...,मेरा नाम ... है,hi,approved
575,आप कहाँ से हैं?,ta,நீங்கள் எங்கிருந்து வருகிறீர்கள்?,आप कहाँ से हैं?,hi,approved
576,मैं ... से हूँ,ta,நான் ... இருந்து வருகிறேன்,मैं ... से हूँ,hi,approved
577,आप से मिलकर खुशी हुई,ta,உங்களை சந்தித்ததில் மகிழ்ச்சி,आप से मिलकर खुशी हुई,hi,approved
578,शुभ प्रभात,ta,காலை வணக்கம்,शुभ प्रभात,ne,approved
579,नमस्ते / शुभ दोपहर,ta,மதிய வணக்கம்,नमस्ते शुभ दोपहर,hi,approved
580,शुभ संध्या,ta,மாலை வணக்கம்,शुभ संध्या,mr,approved
581,शुभ रात्रि,ta,இனிய இரவு,शुभ रात्रि,ne,approved
582,फिर मिलेंगे,ta,விடை பெறுகிறேன்,फिर मिलेंगे,hi,approved
583,शुभकामनाएँ,ta,நல்வாழ்த்துக்கள்,शुभकामनाएँ,ne,approved
584,आपका दिन अच्छा बीते,ta,இனிய நாளாக அமையட்டும்,आपका दिन अच्छा बीते,hi,approved
585,कृपया भोजन शुरू कीजिए,ta,உணவை ரசித்து உண்க,कृपया भोजन शुरू कीजिए,hi,approved
586,शुभ यात्रा,ta,இனிய பயணமாக அமையட்டும்,शुभ यात्रा,mr,approved
587,मुझे नहीं पता,ta,எனக்கு தெரியாது,मुझे नहीं पता,hi,approved
588,क्या आप समझे?,ta,உங்களுக்கு புரிகிறதா?,क्या आप समझे?,mr,approved
589,मैं समझ गया / गयी,ta,நான் புரிந்து கொண்டேன்,मैं समझ गया गयी,hi,approved
590,मैं समझा / समझी नहीं,ta,எனக்கு புரியவில்லை,मैं समझा समझी नहीं,hi,approved
591,कृपया धीरे बोलिए,ta,தயவு செய்து மெதுவாக பேசுங்கள்,कृपया धीरे बोलिए,hi,approved
592,कृपया इसे दोहराएँ,ta,நீங்கள் அதை மீண்டும் சொல்ல முடியுமா?,कृपया इसे दोहराएँ,hi,approved
593,कृपया लिखिए,ta,தயவு செய்து எழுதுங்கள்,कृपया लिखिए,hi,approved
594,क्या आप अंग्रेज़ी बोलते हैं?,ta,நீங்கள் ஆங்கிலம் பேசுவீர்களா?,क्या आप अंग्रेज़ी बोलते हैं?,hi,approved
595,क्या आप हिन्दी बोलते हैं?,ta,நீங்கள் हिन्दी பேசுவீர்களா?,क्या आप हिन्दी बोलते हैं?,hi,approved
596,"हाँ, थोड़ी सी",ta,"ஆம், கொஞ்சம்","हाँ, थोड़ी सी",hi,approved
597,माफ कीजिए,ta,மன்னிக்கவும்,माफ कीजिए,hi,approved
598,धन्यवाद,ta,நன்றி,धन्यवाद,ne,approved
599,टॉयलेट कहाँ है?,ta,கழிப்பறை எங்கே?,टॉयलेट कहाँ है?,hi,approved
600,मदद!,ta,உதவி!,मदद!,hi,approved
601,आग!,ta,தீ!,आग!,mr,approved
602,रुकिए!,ta,நிறுத்து!,रुकिए!,ne,approved
603,पुलिस को बुलाओ!,ta,காவல்துறையினரை அழைக்கவும்!,पुलिस को बुलाओ!,ne,approved
604,जन्मदिन मुबारक हो,ta,பிறந்தநாள் வாழ்த்துக்கள்,जन्मदिन मुबारक हो,ne,approved
605,नये साल की शुभकामनाएँ,ta,புத்தாண்டு வாழ்த்துக்கள்,नये साल की शुभकामनाएँ,hi,approved
606,ईस्टर की शुभकामनाएँ,ta,ஈஸ்டர் வாழ்த்துக்கள்,ईस्टर की शुभकामनाएँ,hi,approved
607,बधाई!,ta,வாழ்த்துக்கள்!,बधाई!,ne,approved
608,पानी बचाओ,ta,தண்ணீரை சேமிக்கவும்,पानी बचाओ,mr,approved
609,मैं तुम से लम्बा हूँ,ta,நா உனைவிட உயரமானவன்,मैं तुम से लम्बा हूँ,hi,approved
610,मैं तुम से लम्बी हूँ,ta,நா உனைவிட உயரமானவள்,मैं तुम से लम्बी हूँ,hi,approved
611,"अरुण, प्रिया से छोटा है",ta,அருண் பிரியாவை விட உயரமானவன்,"अरुण, प्रिया से छोटा है",hi,approved
612,"प्रिया, अरुण से छोटी है",ta,பிரியா அருணை விடஉயரமானவள்,"प्रिया, अरुण से छोटी है",hi,approved
613,यह उससे लंबा है,ta,இது அதைவிட நீளமானது,यह उससे लंबा है,hi,approved
614,यह इससे लंबा है,ta,அது இதைவிட நீளமானது,यह इससे लंबा है,hi,approved
615,अण की कार,ta,அருணின் கார்,अण की कार,hi,approved
616,प्रिया की कार,ta,பிரியாவின் கார்,प्रिया की कार,hi,approved
617,प्रिया का फोन,ta,பிரியாவின் போன்,प्रिया का फोन,hi,approved
618,प्रिया के फोन,ta,பிரியாவின் போன்கள்,प्रिया के फोन,hi,approved
619,अण की किताब,ta,அருணின் புத்தகம்,अण की किताब,hi,approved
620,अण की पुस्तकें,ta,அருணின் புத்தகங்கள்,अण की पुस्तकें,hi,approved
621,अण का बेटा,ta,அருணின் மகன்,अण का बेटा,mr,approved
622,प्रिया का बेटा,ta,பிரியாவின் மகன்,प्रिया का बेटा,ne,approved
623,अण की बेटी,ta,அருணின் மகள்,अण की बेटी,hi,approved
624,प्रिया की बेटी,ta,பிரியாவின் மகள்,प्रिया की बेटी,hi,approved
625,प्रिया के बेटे,ta,பிரியாவின் மகன்கள்,प्रिया के बेटे,hi,approved
626,प्रिया की बेटियाँ,ta,பிரியாவின் மகள்கள்,प्रिया की बेटियाँ,hi,approved
627,क्या आप मेरी मदद करेंगे?,ta,தயவு செய்து உதவுவீர்களா?,क्या आप मेरी मदद करेंगे?,hi,approved
628,क्या आप पंखा बंद कर देंगे?,ta,தயவு செய்து பங்கா ஆப் பண்ணுவீர்களா?,क्या आप पंखा बंद कर देंगे?,hi,approved
629,अब आप क्या लेना पसंद करेंगे?,ta,இப்போது என்ன சாப்பிட விரும்புகிறீர்கள்?,अब आप क्या लेना पसंद करेंगे?,hi,approved
630,मैं एक कप कॉफी चाहूँगी,ta,நான் ஒரு கப் காபி சாப்பிட விரும்புகிறேன்,मैं एक कप कॉफी चाहूँगी,hi,approved
631,स्वागत है,ta,வரவேற்பு,स्वागत है,hi,approved
632,नमस्ते / नमस्कार,ta,வணக்கம்,नमस्ते नमस्कार,hi,approved
633,हेलो,ta,வணக்கம்,हेलो,mr,approved
634,आप कैसे हैं?,ta,எப்படி இருக்கிறீர்கள்?,आप कैसे हैं?,hi,approved
635,तुम कैसे हो?,ta,எப்படி இருக்கிறாய்?,तुम कैसे हो?,hi,approved
636,मैं अच्छा हूँ / मैं अच्छी हूँ,ta,நான் நன்றாக இருக்கிறேன்,मैं अच्छा हूँ मैं अच्छी हूँ,hi,approved
637,बहुत समय से दिखे नहीं,ta,நெடுநாளாக பார்க்கவில்லை,बहुत समय से दिखे नहीं,hi,approved
638,आपका नाम क्या है?,ta,உங்கள் பெயர் என்ன?,आपका नाम क्या है?,hi,approved
639,मेरा नाम ... है,ta,என் பெயர் ...,मेरा नाम ... है,hi,approved
640,आप कहाँ से हैं?,ta,நீங்கள் எங்கிருந்து வருகிறீர்கள்?,आप कहाँ से हैं?,hi,approved
641,मैं ... से हूँ,ta,நான் ... இருந்து வருகிறேன்,मैं ... से हूँ,hi,approved
642,आप से मिलकर खुशी हुई,ta,உங்களை சந்தித்ததில் மகிழ்ச்சி,आप से मिलकर खुशी हुई,hi,approved
643,शुभ प्रभात,ta,காலை வணக்கம்,शुभ प्रभात,ne,approved
644,नमस्ते / शुभ दोपहर,ta,மதிய வணக்கம்,नमस्ते शुभ दोपहर,hi,approved
645,शुभ संध्या,ta,மாலை வணக்கம்,शुभ संध्या,mr,approved
646,शुभ रात्रि,ta,இனிய இரவு,शुभ रात्रि,ne,approved
647,फिर मिलेंगे,ta,விடை பெறுகிறேன்,फिर मिलेंगे,hi,approved
648,शुभकामनाएँ,ta,நல்வாழ்த்துக்கள்,शुभकामनाएँ,ne,approved
649,आपका दिन अच्छा बीते,ta,இனிய நாளாக அமையட்டும்,आपका दिन अच्छा बीते,hi,approved
650,कृपया भोजन शुरू कीजिए,ta,உணவை ரசித்து உண்க,कृपया भोजन शुरू कीजिए,hi,approved
651,शुभ यात्रा,ta,இனிய பயணமாக அமையட்டும்,शुभ यात्रा,mr,approved
652,मुझे नहीं पता,ta,எனக்கு தெரியாது,मुझे नहीं पता,hi,approved
653,क्या आप समझे?,ta,உங்களுக்கு புரிகிறதா?,क्या आप समझे?,mr,approved
654,मैं समझ गया / गयी,ta,நான் புரிந்து கொண்டேன்,मैं समझ गया गयी,hi,approved
655,मैं समझा / समझी नहीं,ta,எனக்கு புரியவில்லை,मैं समझा समझी नहीं,hi,approved
656,कृपया धीरे बोलिए,ta,தயவு செய்து மெதுவாக பேசுங்கள்,कृपया धीरे बोलिए,hi,approved
657,कृपया इसे दोहराएँ,ta,நீங்கள் அதை மீண்டும் சொல்ல முடியுமா?,कृपया इसे दोहराएँ,hi,approved
658,कृपया लिखिए,ta,தயவு செய்து எழுதுங்கள்,कृपया लिखिए,hi,approved
659,क्या आप अंग्रेज़ी बोलते हैं?,ta,நீங்கள் ஆங்கிலம் பேசுவீர்களா?,क्या आप अंग्रेज़ी बोलते हैं?,hi,approved
660,क्या आप हिन्दी बोलते हैं?,ta,நீங்கள் हिन्दी பேசுவீர்களா?,क्या आप हिन्दी बोलते हैं?,hi,approved
661,"हाँ, थोड़ी सी",ta,"ஆம், கொஞ்சம்","हाँ, थोड़ी सी",hi,approved
662,माफ कीजिए,ta,மன்னிக்கவும்,माफ कीजिए,hi,approved
663,धन्यवाद,ta,நன்றி,धन्यवाद,ne,approved
664,टॉयलेट कहाँ है?,ta,கழிப்பறை எங்கே?,टॉयलेट कहाँ है?,hi,approved
665,मदद!,ta,உதவி!,मदद!,hi,approved
666,आग!,ta,தீ!,आग!,mr,approved
667,रुकिए!,ta,நிறுத்து!,रुकिए!,ne,approved
668,पुलिस को बुलाओ!,ta,காவல்துறையினரை அழைக்கவும்!,पुलिस को बुलाओ!,ne,approved
669,जन्मदिन मुबारक हो,ta,பிறந்தநாள் வாழ்த்துக்கள்,जन्मदिन मुबारक हो,ne,approved
670,नये साल की शुभकामनाएँ,ta,புத்தாண்டு வாழ்த்துக்கள்,नये साल की शुभकामनाएँ,hi,approved
671,ईस्टर की शुभकामनाएँ,ta,ஈஸ்டர் வாழ்த்துக்கள்,ईस्टर की शुभकामनाएँ,hi,approved
672,बधाई!,ta,வாழ்த்துக்கள்!,बधाई!,ne,approved
673,पानी बचाओ,ta,தண்ணீரை சேமிக்கவும்,पानी बचाओ,mr,approved
